461864,1491,1483,4,508,980,3,983,0,983,15,4,2,1,2,67,0,0,9,1,106,0,0,0,150,1,0,0,0,26,0,0,1,6,1,8,0,0,0,0,431,0,1,71,0,3,71,2,2,2
461865,1677,1685,15,534,1128,15,1143,0,1143,9,2,6,1,0,59,0,0,19,0,142,0,1,0,144,0,2,1,0,34,1,2,1,9,0,5,0,0,1,0,530,0,1,70,1,1,93,3,0,5
461866,2000,1999,22,643,1341,16,1357,0,1357,11,0,3,3,0,61,0,0,16,2,192,1,6,0,187,1,0,0,0,18,0,0,2,16,1,8,0,0,0,1,615,2,1,68,0,0,136,3,1,2
461867,2070,2055,23,653,1398,19,1417,0,1417,20,1,3,3,3,97,1,0,9,2,176,0,0,0,181,0,1,0,0,31,0,1,0,9,1,6,0,0,0,4,636,3,0,108,0,1,108,6,1,5
461868,1857,1876,12,539,1308,10,1318,0,1318,9,4,5,4,0,64,0,0,16,0,178,0,0,0,169,0,0,1,0,25,2,0,0,9,1,9,0,0,1,3,608,1,0,93,0,0,111,1,2,2
461869,1947,1947,14,606,1330,11,1341,0,1341,19,1,6,2,1,92,0,0,14,0,195,0,4,0,182,0,0,1,0,21,1,0,0,12,1,1,0,1,0,1,556,0,1,122,0,0,96,5,2,4
461870,1290,1295,10,360,922,8,930,0,930,5,6,1,1,0,58,1,0,17,0,153,1,1,0,118,0,0,0,0,27,1,1,0,2,0,2,1,0,0,1,391,0,1,68,0,0,69,2,0,2
461871,1410,1407,7,459,945,6,951,0,951,9,1,5,3,0,18,0,0,14,0,149,1,0,0,138,0,0,1,0,29,0,0,0,10,0,5,0,0,0,0,440,0,0,58,0,2,60,1,1,6
461872,222,70,60,156,9,57,66,0,66,0,0,0,0,0,0,0,0,0,0,15,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,29,0,1,2,0,0,5,0,0,0
461873,558,223,84,371,109,78,187,0,187,1,0,1,0,0,4,0,0,1,0,45,0,0,0,16,0,1,0,0,9,0,0,2,15,0,0,0,0,0,0,60,0,0,6,0,1,24,1,0,0
